用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
27,教学综合信息服务平台,学生管理,,退出登录,已登录,"1. 退出登录
",1. 退出登录，跳转到登录页面,,,3,功能测试,,正常,0,3,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
28,教学综合信息服务平台,教师管理,,教师登录,,"1. 输入用户名
2. 输入密码           3.选择教师
4. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份教师
4. 跳转到教师页面
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
29,教学综合信息服务平台,教师管理,,密码错误的教师登录,,"1. 输入用户名
2. 输入错误的密码3.选择身份为教师
4. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份为教师
4.提示密码错误",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
30,教学综合信息服务平台,教师管理,,用户名错误的教师登录,,"1. 输入错误的用户名
2. 输入密码            3.选择身份为教师
4. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份为教师
4.提示用户名错误","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
31,教学综合信息服务平台,教师管理,,身份错误的教师登录,,"1. 输入用户名
2. 输入密码            3.选择身份为学生
5. 点击登录
","1. 显示用户名
2. 显示加密的密码3.显示身份为学生
5.提示用户名不存在","1. 
2. 
3. 
",,3,功能测试,,正常,1,1,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
32,教学综合信息服务平台,教师管理,,调课申请跳转,已登录，当前教师有安排的课程,"1.点击调课申请            2.选择星期
3. 点击查找           4.点击所要调课的调课申请
","1. 跳转到课程信息页面         2.显示所选星期
3. 显示所选星期内的课程    4.跳转到调课申请页面
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
33,教学综合信息服务平台,教师管理,,调课申请,已登录，进入某节课程的调课申请页面，当前教师有安排的课程,"1. 选择星期
2. 选择时间           3.选择教室            4.填写申请理由    5.点击提交
","1. 显示所选星期
2. 显示所选时间段3.显示所选教室    4.显示申请理由    5.显示提交成功
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
34,教学综合信息服务平台,教师管理,,不修改任何信息的调课申请,已登录，进入某节课程的调课申请页面，当前教师有安排的课程,"1. 不选择星期
2. 不选择时间           3.不2选择教室            4.不填写申请理由    5.点击提交
","1. 显示课程原来安排的星期
2. 显示课程原来安排的时间段           3.显示课程原来安排的教室    4.理由 为空           5.显示未修改信息
",,,3,功能测试,,正常,0,1,4,失败,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
35,教学综合信息服务平台,教师管理,,不写理由的调课申请,已登录，进入某节课程的调课申请页面，当前教师有安排的课程,"1. 选择星期
2. 选择时间           3.选择教室            4.不填写申请理由    6.点击提交
","1. 显示修改的星期
2. 显示修改的的时间段           3.显示修改的教室    4.理由为空           6.显示理由为空
",,,3,功能测试,,正常,0,1,3,失败,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
36,教学综合信息服务平台,教师管理,,课程查询,,,"1. 出现信息查询选项
2. 跳转到课程查询页面
3.显示所选学年
4. 显示所选学期    5.显示对应的课程
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
37,教学综合信息服务平台,教师管理,,查看教学班,已登录，当前教师有安排的课程，处于信息查询-课程查询界面,"1. 点击查看教学班

","1. 跳转到教学班查询界面，显示对应的教学班信息

",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
38,教学综合信息服务平台,教师管理,,查看学生名单,,,,,,3,功能测试,,正常,0,1,5,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
39,教学综合信息服务平台,教师管理,,教师课表查询,已登录,"1. 点击信息查询    2.点击课表查询
3. 选择学年
4. 选择学期
5.点击查找
","1. 出现课表查询选项
2. 跳转到课表查询页面
3. 显示选择的学年
4. 显示选择的学期
6.显示课表
","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
40,教学综合信息服务平台,教师管理,,教学班查询,已登录,"1. 点击信息查询    2.点击教学班查询
3. 选择学年
4. 选择学期            5.选择课程
6.点击查找
","1. 出现课表查询选项
2. 跳转到课表查询页面
3. 显示选择的学年
4. 显示选择的学期5.显示选择的课程
6.显示教学班
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/12/1,,0000-00-00,1,
41,教学综合信息服务平台,教师管理,,成绩查询,已登录,"1. 点击成绩查询
2. 选择学年           3.选择学期           4.选择课程           5.点击查找
","1. 跳转到成绩查询界面
2. 显示选择的学年3.显示选择的学期4.显示选择的课程5.显示查找科目的成绩信息
","1. 
2. 
",,3,功能测试,,正常,1,1,2,通过,杨凯静,2018/12/1,杨凯静,2018/12/4,2,
42,教学综合信息服务平台,教师管理,,成绩录入,已登录,"1. 点击成绩录入
2. 点击录入成绩
3. 选择学年、学期、课程    4.点击查找
5.录入成绩","1. 出现录入成绩的选项
2. 跳转到录入成绩界面
3. 显示选择的学年、学期、课程        4.显示所选择的班级信息    5.进入录入页面
",,,3,功能测试,,正常,0,2,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,3,
43,教学综合信息服务平台,教师管理,,查询课程成绩比例,已登录，已有课程,"1. 点击成绩录入
2. 点击课程成绩比例
3. 选择学年、学期4.点击查找","1. 出现课程成绩比例选项
2. 跳转到课程成绩比例页面
3. 显示现在是学年、学期    4.显示查找到课程成绩比例
",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/12/1,杨凯静,2018/12/8,2,
44,教学综合信息服务平台,教师管理,,基本信息修改,已登录,"1. 点击个人中心
2. 点击基本信息
3. 修改任意一项信息
4. 点击保存
","1. 跳转到个人中心界面
2. 跳转基本信息界面
3. 
4. 提示保存成功
",,,3,功能测试,,正常,0,1,8,通过,杨凯静,2018/11/30,杨凯静,2018/12/8,4,
45,教学综合信息服务平台,教师管理,,修改密码,已登录,"1. 点击个人中心
2. 点击修改密码
3. 输入旧密码
4. 输入六位新密码
5. 重复输入新密码
6. 点击保存
","1. 跳转到个人信息界面
2. 跳转到修改密码界面
3. 显示加密的密码
4. 显示加密的密码，显示密码强度
5. 显示加密的密码
6. 保存成功
",,,3,功能测试,,正常,0,1,8,通过,杨凯静,2018/11/30,杨凯静,2018/12/8,2,
46,教学综合信息服务平台,教师管理,,,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位数字密码           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,,0000-00-00,1,
47,教学综合信息服务平台,教师管理,,修改密码为全字母,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位字母密码           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,3,
48,教学综合信息服务平台,教师管理,,修改密码有特殊字符,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位密码，其中一位是】           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,2,10,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,4,
49,教学综合信息服务平台,教师管理,,修改密码有空格,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入六位密码，其中一位是空格           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/11/30,,0000-00-00,1,
50,教学综合信息服务平台,教师管理,,修改密码为11位,已登录，进入个人中心-修改密码界面,"1. 输入旧密码
2. 输入十一位密码，其中一位是空格           3. 重复输入新密码4.点击保存","1. 显示加密的密码
2. 显示新加密的密码            3            .4.提示保存成功
",,,3,功能测试,,正常,0,1,7,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,4,
51,教学综合信息服务平台,教师管理,,退出登录,已登录,"1. 点击退出登录
",1. 退出登录，跳转到登录页面,,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,3,
52,教学综合信息服务平台,毕业生管理,,毕业生登录,,"1. 输入用户名
2. 输入密码           3.选择身份为毕业生           4.点击登录","1. 显示用户名
2. 显示加密的密码3.显示身份为毕业生
4.登陆成功，跳转到毕业生页面",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,2,
53,教学综合信息服务平台,毕业生管理,,毕业生登录用户名错误,"
		","1. 输入错误的用户名
2. 输入密码           3.选择身份为毕业生           4.点击登录","1. 显示用户名
2. 显示加密的密码3.显示身份为毕业生
4.提示用户名不存在",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,2,
54,教学综合信息服务平台,毕业生管理,,毕业生登录密码错误,,"1. 输入用户名
2. 输入错误密码           3.选择身份为毕业生           4.点击登录","1. 显示用户名
2. 显示加密的密码3.显示身份为毕业生
4.提示密码错误",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,,0000-00-00,1,
55,教学综合信息服务平台,毕业生管理,,毕业生登录身份错误,,"1. 输入用户名
2. 输入密码           3.选择身份为学生     4.点击登录","1. 显示用户名
2. 显示加密的密码3.显示身份为毕业生
4.提示用户不存在",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,,0000-00-00,1,
56,教学综合信息服务平台,毕业生管理,,历年毕业生就业情况查看,已登录,"1. 历年毕业生就业情况
2. 点击任一年的毕业生就业情况

","1. 跳转到理念毕业生就业情况页面
2. 显示所选年份的毕业生就业情况

",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,2,
57,教学综合信息服务平台,毕业生管理,,历年毕业生就业情况切换,已登录,"1. 点击历年毕业生就业情况
2. 点击任一年的毕业生就业情况        3.在随意点击另一个就业情况

","1. 跳转到理念毕业生就业情况页面
2. 显示所选年份的毕业生就业情况
3. 显示所选年份的毕业生就业情况


",,,,,,,,,,通过,,,,,,
58,教学综合信息服务平台,毕业生管理,,历年毕业生考研情况查看,已登录,"1. 点击历年毕业生考研情况
2. 点击任一年的毕业生考研情况

","1. 跳转到理念毕业生考研情况页面
2. 显示所选年份的毕业生考研情况

",,,3,功能测试,,正常,0,1,6,通过,杨凯静,2018/11/30,杨凯静,2018/12/9,2,
59,教学综合信息服务平台,毕业生管理,,历年毕业生考研情况切换,已登录,"1. 点击历年毕业生考研情况
2. 点击任一年的毕业生考研情况        3.随意点击任一年的毕业生考研情况

","1. 跳转到理念毕业生考研情况页面
2. 显示所选年份的毕业生考研情况    3. 显示所选年份的毕业生考研情况

",,,,,,,,,,通过,,,,,,
60,教学综合信息服务平台,毕业生管理,,学长学姐课堂页面跳转,已登录,"1. 点击，横向菜单栏上面的学长学姐课堂
",1. 跳转到对应的页面,,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/30,杨凯静,2018/11/30,1,
61,教学综合信息服务平台,毕业生管理,,学长学姐课堂页面页数的跳转,已登录，处于学长学姐课堂页面,"1. 点击，横向菜单栏上面的学长学姐课堂        2.点击学长学姐课堂页面下方的任一页数
",1. 跳转到对应的页面           2.跳转到所选页数的页面,,,,,,,,,,通过,,,,,,
62,教学综合信息服务平台,毕业生管理,,学长学姐课堂视频的观看,已登录，处于学长学姐课堂页面,"1. 点击学长学姐课堂页面任意课程的“点击观看”
存
","1.跳转到视频播放页面，视频开始播放
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/28,杨凯静,2018/11/28,1,
63,教学综合信息服务平台,毕业生管理,,学长学姐课堂视频的暂停,已登录，处于学长学姐课堂视频播放页面,"1. 点击视频的暂停按钮

","1. 视频暂停
",,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,,0000-00-00,1,
64,教学综合信息服务平台,毕业生管理,,学长学姐课堂视频播放的切换,已登录，处于学长学姐课堂视频播放页面,"1. 点击视频的暂停按钮        2.点击视频的播放按钮

","1. 视频暂停           2.视频继续播放
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/28,杨凯静,2018/12/4,2,
65,教学综合信息服务平台,毕业生管理,,学长学姐课堂视频音量的切换,已登录，处于学长学姐课堂视频播放页面,"1.点击视频的播放按钮        2.左右滑动音量的按钮

","1. 视频播放           2.视频音量发生变化
",,,3,功能测试,,正常,0,1,4,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,4,
66,教学综合信息服务平台,毕业生管理,,播放状态下学长学姐课堂视频进度条的拖动,已登录，处于学长学姐课堂视频播放页面,"1.点击视频的播放按钮        2.向右拖动进度条

","1. 视频播放           2.视频快进到所拖动的时间处播放
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/28,杨凯静,2018/12/4,2,
67,教学综合信息服务平台,毕业生管理,,暂停状态下学长学姐课堂视频进度条的拖动,已登录，处于学长学姐课堂视频播放页面,"1.点击视频的暂停按钮        2.向右拖动进度条

","1. 视频暂停           2.视频快进到所拖动的时间处并处于暂停状态
",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/11/28,,0000-00-00,1,
68,教学综合信息服务平台,毕业生管理,,视频的全屏切换,已登录，处于学长学姐课堂视频播放页面,"1.点击视频右下角的全屏按钮      

",1.视频提示并切换成全屏模式,"1. 
2. 
3. 
4. 
5. 
",,3,功能测试,,正常,1,1,5,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,2,
69,教学综合信息服务平台,毕业生管理,,视频的缩小切换,已登录，处于学长学姐课堂视频播放全屏页面,"1.点击视频右下角的缩小按钮      

",1.视频切换成非全屏模式,,,3,功能测试,,正常,0,2,2,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,2,
70,教学综合信息服务平台,毕业生管理,,Esc键对视频非全屏模式的切换,已登录，处于学长学姐课堂视频播放全屏页面,"1.按下键盘上的Esc键   

",1.视频切换成非全屏模式,,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/28,,0000-00-00,1,
71,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频下发表评论,已登录，处于学长学姐课堂视频播放页面,"1. 在输入框输入评论“课程很有用”
2. 点击发表
","1. 显示输入的评论
2. 提示发表成功
","1. 
2. 
",,3,功能测试,,正常,1,1,2,失败,杨凯静,2018/11/28,杨凯静,2018/12/9,4,
72,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频下发表空评论,已登录，处于学长学姐课堂视频播放页面,"1. 在输入框不输入评论
2. 点击发表
","1. 
2. 提示发表成功
",,,3,功能测试,,正常,0,1,1,失败,杨凯静,2018/11/28,,0000-00-00,1,
73,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频下发表恶意评论,已登录，处于学长学姐课堂视频播放页面,"1. 在输入框输入辱骂的恶意评论
2. 点击发表
","1. 显示输入的评论
2. 提示发表成功并且恶意评论被屏蔽
",,,3,功能测试,,正常,0,1,3,失败,杨凯静,2018/11/28,杨凯静,2018/12/4,3,
74,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频下发表空评论,已登录，处于学长学姐课堂视频播放页面,"1. 在输入框不输入评论
2. 点击发表
","1. 
2. 提示发表成功
",,,3,功能测试,,正常,1,1,2,失败,杨凯静,2018/11/28,杨凯静,2018/12/4,1,
75,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频下发表带有特殊符号的评论,已登录，处于学长学姐课堂视频播放页面,"1. 在输入框输入特殊符号带有@#$%等特殊符号的评论
2. 点击发表
","1. 显示输入的评论
2. 提示发表成功
",,,3,功能测试,,正常,1,1,2,失败,杨凯静,2018/11/28,杨凯静,2018/12/9,3,
76,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频下发表带有代码的评论,已登录，处于学长学姐课堂视频播放页面,"1. 在输入框输入代码
2. 点击发表
","1. 显示输入的评论
2. 提示发表成功
",,,3,功能测试,,正常,1,1,4,失败,杨凯静,2018/11/28,杨凯静,2018/12/9,3,
77,教学综合信息服务平台,毕业生管理,,对学长学姐课堂视频的推荐转换,已登录，处于学长学姐课堂视频播放页面,"1. 点击视频右边的推荐           2.点击推荐页面的任一课程
","1. 视频右边显示推荐内容
2.跳转到对应页面",,,3,功能测试,,正常,0,1,1,通过,杨凯静,2018/11/28,,0000-00-00,1,
78,教学综合信息服务平台,毕业生管理,,查看对学长学姐课堂视频的评论,已登录，处于学长学姐课堂视频播放页面,1. 点击视频右边的评论           ,1. 视频右边显示评论内容,,,3,功能测试,,正常,0,1,3,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,3,
79,教学综合信息服务平台,毕业生管理,,实习广场的查看,已登录，,"1. 点击上面菜单栏的实习广场     
",1. 切换到实习广场页面,,,3,功能测试,,正常,1,1,5,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,4,
80,教学综合信息服务平台,毕业生管理,,实习广场的查看,已登录，,"1. 点击上面菜单栏的实习广场     
",1. 切换到实习广场页面,"1. 
2. 
3. 
4. 
",,3,功能测试,,正常,1,1,4,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,3,
81,教学综合信息服务平台,毕业生管理,,招聘信息的查看,已登录，进入实习广场页面,"1. 点击任一公司                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2. 点击任一地点
3. 点击任一工作类别
","1. 显示所选公司的所有招聘信息                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  2. 显示所选公司在所选地点的招聘信息        
3. 显示所选公司在所选地点有关工作类别的招聘信息
",,,3,功能测试,,正常,0,1,3,失败,杨凯静,2018/11/28,杨凯静,2018/11/28,2,
82,教学综合信息服务平台,毕业生管理,,招聘信息的指定页面跳转,已登录，进入实习广场，查看到招聘信息的页面,"1. 点击任一页数按钮
","1. 跳转到对应的招聘信息页数页面                                                                                                                                                                                                                                                                                                                                                         
",,,3,功能测试,,正常,0,2,2,通过,杨凯静,2018/11/28,杨凯静,2018/11/28,2,
83,教学综合信息服务平台,毕业生管理,,招聘信息页面课程跳转,已登录，进入实习广场页面,"1. 点击右边学长学姐课堂下方的任一课程
","1. 跳转到对应页面
",,,3,功能测试,,正常,0,1,2,通过,杨凯静,2018/11/28,杨凯静,2018/12/9,3,
84,教学综合信息服务平台,毕业生管理,,上传视频页面的切换,已登录,1.点击上方菜单栏的上传视频,1.跳转到上传视频页面,,,3,功能测试,,正常,1,1,24,通过,杨凯静,2018/11/28,杨凯静,2018/12/5,5,
